,pokedex_number,name,generation,status,species,type_number,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,growth_rate
0,1,Bulbasaur,1,Normal,Seed Pokémon,2,Grass,Poison,0.7,6.9,318,45,49,49,65,65,45,45.0,Medium Slow
1,2,Ivysaur,1,Normal,Seed Pokémon,2,Grass,Poison,1.0,13.0,405,60,62,63,80,80,60,45.0,Medium Slow
2,3,Venusaur,1,Normal,Seed Pokémon,2,Grass,Poison,2.0,100.0,525,80,82,83,100,100,80,45.0,Medium Slow
3,3,Mega Venusaur,1,Normal,Seed Pokémon,2,Grass,Poison,2.4,155.5,625,80,100,123,122,120,80,45.0,Medium Slow
4,4,Charmander,1,Normal,Lizard Pokémon,1,Fire,None,0.6,8.5,309,39,52,43,60,50,65,45.0,Medium Slow
5,5,Charmeleon,1,Normal,Flame Pokémon,1,Fire,None,1.1,19.0,405,58,64,58,80,65,80,45.0,Medium Slow
6,6,Charizard,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,90.5,534,78,84,78,109,85,100,45.0,Medium Slow
7,6,Mega Charizard X,1,Normal,Flame Pokémon,2,Fire,Dragon,1.7,110.5,634,78,130,111,130,85,100,45.0,Medium Slow
8,6,Mega Charizard Y,1,Normal,Flame Pokémon,2,Fire,Flying,1.7,100.5,634,78,104,78,159,115,100,45.0,Medium Slow
9,7,Squirtle,1,Normal,Tiny Turtle Pokémon,1,Water,None,0.5,9.0,314,44,48,65,50,64,43,45.0,Medium Slow
10,8,Wartortle,1,Normal,Turtle Pokémon,1,Water,None,1.0,22.5,405,59,63,80,65,80,58,45.0,Medium Slow
11,9,Blastoise,1,Normal,Shellfish Pokémon,1,Water,None,1.6,85.5,530,79,83,100,85,105,78,45.0,Medium Slow
12,9,Mega Blastoise,1,Normal,Shellfish Pokémon,1,Water,None,1.6,101.1,630,79,103,120,135,115,78,45.0,Medium Slow
13,10,Caterpie,1,Normal,Worm Pokémon,1,Bug,None,0.3,2.9,195,45,30,35,20,20,45,255.0,Medium Fast
14,11,Metapod,1,Normal,Cocoon Pokémon,1,Bug,None,0.7,9.9,205,50,20,55,25,25,30,120.0,Medium Fast
15,12,Butterfree,1,Normal,Butterfly Pokémon,2,Bug,Flying,1.1,32.0,395,60,45,50,90,80,70,45.0,Medium Fast
16,13,Weedle,1,Normal,Hairy Bug Pokémon,2,Bug,Poison,0.3,3.2,195,40,35,30,20,20,50,255.0,Medium Fast
17,14,Kakuna,1,Normal,Cocoon Pokémon,2,Bug,Poison,0.6,10.0,205,45,25,50,25,25,35,120.0,Medium Fast
18,15,Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.0,29.5,395,65,90,40,45,80,75,45.0,Medium Fast
19,15,Mega Beedrill,1,Normal,Poison Bee Pokémon,2,Bug,Poison,1.4,40.5,495,65,150,40,15,80,145,45.0,Medium Fast
20,16,Pidgey,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,1.8,251,40,45,40,35,35,56,255.0,Medium Slow
21,17,Pidgeotto,1,Normal,Bird Pokémon,2,Normal,Flying,1.1,30.0,349,63,60,55,50,50,71,120.0,Medium Slow
22,18,Pidgeot,1,Normal,Bird Pokémon,2,Normal,Flying,1.5,39.5,479,83,80,75,70,70,101,45.0,Medium Slow
23,18,Mega Pidgeot,1,Normal,Bird Pokémon,2,Normal,Flying,2.2,50.5,579,83,80,80,135,80,121,45.0,Medium Slow
24,19,Rattata,1,Normal,Mouse Pokémon,1,Normal,None,0.3,3.5,253,30,56,35,25,35,72,255.0,Medium Fast
25,19,Alolan Rattata,1,Normal,Mouse Pokémon,2,Dark,Normal,0.3,3.8,253,30,56,35,25,35,72,255.0,Medium Fast
26,20,Raticate,1,Normal,Mouse Pokémon,1,Normal,None,0.7,18.5,413,55,81,60,50,70,97,127.0,Medium Fast
27,20,Alolan Raticate,1,Normal,Mouse Pokémon,2,Dark,Normal,0.7,25.5,413,75,71,70,40,80,77,127.0,Medium Fast
28,21,Spearow,1,Normal,Tiny Bird Pokémon,2,Normal,Flying,0.3,2.0,262,40,60,30,31,31,70,255.0,Medium Fast
29,22,Fearow,1,Normal,Beak Pokémon,2,Normal,Flying,1.2,38.0,442,65,90,65,61,61,100,90.0,Medium Fast
30,23,Ekans,1,Normal,Snake Pokémon,1,Poison,None,2.0,6.9,288,35,60,44,40,54,55,255.0,Medium Fast
31,24,Arbok,1,Normal,Cobra Pokémon,1,Poison,None,3.5,65.0,448,60,95,69,65,79,80,90.0,Medium Fast
32,25,Pikachu,1,Normal,Mouse Pokémon,1,Electric,None,0.4,6.0,320,35,55,40,50,50,90,190.0,Medium Fast
33,25,Partner Pikachu,1,Normal,Mouse Pokémon,1,Electric,None,0.4,6.0,430,45,80,50,75,60,120,190.0,Medium Fast
34,26,Raichu,1,Normal,Mouse Pokémon,1,Electric,None,0.8,30.0,485,60,90,55,90,80,110,75.0,Medium Fast
35,26,Alolan Raichu,1,Normal,Mouse Pokémon,2,Electric,Psychic,0.7,21.0,485,60,85,50,95,85,110,75.0,Medium Fast
36,27,Sandshrew,1,Normal,Mouse Pokémon,1,Ground,None,0.6,12.0,300,50,75,85,20,30,40,255.0,Medium Fast
37,27,Alolan Sandshrew,1,Normal,Mouse Pokémon,2,Ice,Steel,0.7,40.0,300,50,75,90,10,35,40,255.0,Medium Fast
38,28,Sandslash,1,Normal,Mouse Pokémon,1,Ground,None,1.0,29.5,450,75,100,110,45,55,65,90.0,Medium Fast
39,28,Alolan Sandslash,1,Normal,Mouse Pokémon,2,Ice,Steel,1.2,55.0,450,75,100,120,25,65,65,90.0,Medium Fast
40,29,Nidoran♀,1,Normal,Poison Pin Pokémon,1,Poison,None,0.4,7.0,275,55,47,52,40,40,41,235.0,Medium Slow
41,30,Nidorina,1,Normal,Poison Pin Pokémon,1,Poison,None,0.8,20.0,365,70,62,67,55,55,56,120.0,Medium Slow
42,31,Nidoqueen,1,Normal,Drill Pokémon,2,Poison,Ground,1.3,60.0,505,90,92,87,75,85,76,45.0,Medium Slow
43,32,Nidoran♂,1,Normal,Poison Pin Pokémon,1,Poison,None,0.5,9.0,273,46,57,40,40,40,50,235.0,Medium Slow
44,33,Nidorino,1,Normal,Poison Pin Pokémon,1,Poison,None,0.9,19.5,365,61,72,57,55,55,65,120.0,Medium Slow
45,34,Nidoking,1,Normal,Drill Pokémon,2,Poison,Ground,1.4,62.0,505,81,102,77,85,75,85,45.0,Medium Slow
46,35,Clefairy,1,Normal,Fairy Pokémon,1,Fairy,None,0.6,7.5,323,70,45,48,60,65,35,150.0,Fast
47,36,Clefable,1,Normal,Fairy Pokémon,1,Fairy,None,1.3,40.0,483,95,70,73,95,90,60,25.0,Fast
48,37,Vulpix,1,Normal,Fox Pokémon,1,Fire,None,0.6,9.9,299,38,41,40,50,65,65,190.0,Medium Fast
49,37,Alolan Vulpix,1,Normal,Fox Pokémon,1,Ice,None,0.6,9.9,299,38,41,40,50,65,65,190.0,Medium Fast
50,38,Ninetales,1,Normal,Fox Pokémon,1,Fire,None,1.1,19.9,505,73,76,75,81,100,100,75.0,Medium Fast
51,38,Alolan Ninetales,1,Normal,Fox Pokémon,2,Ice,Fairy,1.1,19.9,505,73,67,75,81,100,109,75.0,Medium Fast
52,39,Jigglypuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,0.5,5.5,270,115,45,20,45,25,20,170.0,Fast
53,40,Wigglytuff,1,Normal,Balloon Pokémon,2,Normal,Fairy,1.0,12.0,435,140,70,45,85,50,45,50.0,Fast
54,41,Zubat,1,Normal,Bat Pokémon,2,Poison,Flying,0.8,7.5,245,40,45,35,30,40,55,255.0,Medium Fast
55,42,Golbat,1,Normal,Bat Pokémon,2,Poison,Flying,1.6,55.0,455,75,80,70,65,75,90,90.0,Medium Fast
56,43,Oddish,1,Normal,Weed Pokémon,2,Grass,Poison,0.5,5.4,320,45,50,55,75,65,30,255.0,Medium Slow
57,44,Gloom,1,Normal,Weed Pokémon,2,Grass,Poison,0.8,8.6,395,60,65,70,85,75,40,120.0,Medium Slow
58,45,Vileplume,1,Normal,Flower Pokémon,2,Grass,Poison,1.2,18.6,490,75,80,85,110,90,50,45.0,Medium Slow
59,46,Paras,1,Normal,Mushroom Pokémon,2,Bug,Grass,0.3,5.4,285,35,70,55,45,55,25,190.0,Medium Fast
60,47,Parasect,1,Normal,Mushroom Pokémon,2,Bug,Grass,1.0,29.5,405,60,95,80,60,80,30,75.0,Medium Fast
61,48,Venonat,1,Normal,Insect Pokémon,2,Bug,Poison,1.0,30.0,305,60,55,50,40,55,45,190.0,Medium Fast
62,49,Venomoth,1,Normal,Poison Moth Pokémon,2,Bug,Poison,1.5,12.5,450,70,65,60,90,75,90,75.0,Medium Fast
63,50,Diglett,1,Normal,Mole Pokémon,1,Ground,None,0.2,0.8,265,10,55,25,35,45,95,255.0,Medium Fast
64,50,Alolan Diglett,1,Normal,Mole Pokémon,2,Ground,Steel,0.2,1.0,265,10,55,30,35,45,90,255.0,Medium Fast
65,51,Dugtrio,1,Normal,Mole Pokémon,1,Ground,None,0.7,33.3,425,35,100,50,50,70,120,50.0,Medium Fast
66,51,Alolan Dugtrio,1,Normal,Mole Pokémon,2,Ground,Steel,0.7,66.6,425,35,100,60,50,70,110,50.0,Medium Fast
67,52,Meowth,1,Normal,Scratch Cat Pokémon,1,Normal,None,0.4,4.2,290,40,45,35,40,40,90,255.0,Medium Fast
68,52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,1,Dark,None,0.4,4.2,290,40,35,35,50,40,90,255.0,Medium Fast
69,52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,1,Steel,None,0.4,7.5,290,50,65,55,40,40,40,255.0,Medium Fast
70,53,Persian,1,Normal,Classy Cat Pokémon,1,Normal,None,1.0,32.0,440,65,70,60,65,65,115,90.0,Medium Fast
71,53,Alolan Persian,1,Normal,Classy Cat Pokémon,1,Dark,None,1.1,33.0,440,65,60,60,75,65,115,90.0,Medium Fast
72,54,Psyduck,1,Normal,Duck Pokémon,1,Water,None,0.8,19.6,320,50,52,48,65,50,55,190.0,Medium Fast
73,55,Golduck,1,Normal,Duck Pokémon,1,Water,None,1.7,76.6,500,80,82,78,95,80,85,75.0,Medium Fast
74,56,Mankey,1,Normal,Pig Monkey Pokémon,1,Fighting,None,0.5,28.0,305,40,80,35,35,45,70,190.0,Medium Fast
75,57,Primeape,1,Normal,Pig Monkey Pokémon,1,Fighting,None,1.0,32.0,455,65,105,60,60,70,95,75.0,Medium Fast
76,58,Growlithe,1,Normal,Puppy Pokémon,1,Fire,None,0.7,19.0,350,55,70,45,70,50,60,190.0,Slow
77,59,Arcanine,1,Normal,Legendary Pokémon,1,Fire,None,1.9,155.0,555,90,110,80,100,80,95,75.0,Slow
78,60,Poliwag,1,Normal,Tadpole Pokémon,1,Water,None,0.6,12.4,300,40,50,40,40,40,90,255.0,Medium Slow
79,61,Poliwhirl,1,Normal,Tadpole Pokémon,1,Water,None,1.0,20.0,385,65,65,65,50,50,90,120.0,Medium Slow
80,62,Poliwrath,1,Normal,Tadpole Pokémon,2,Water,Fighting,1.3,54.0,510,90,95,95,70,90,70,45.0,Medium Slow
81,63,Abra,1,Normal,Psi Pokémon,1,Psychic,None,0.9,19.5,310,25,20,15,105,55,90,200.0,Medium Slow
82,64,Kadabra,1,Normal,Psi Pokémon,1,Psychic,None,1.3,56.5,400,40,35,30,120,70,105,100.0,Medium Slow
83,65,Alakazam,1,Normal,Psi Pokémon,1,Psychic,None,1.5,48.0,500,55,50,45,135,95,120,50.0,Medium Slow
84,65,Mega Alakazam,1,Normal,Psi Pokémon,1,Psychic,None,1.2,48.0,600,55,50,65,175,105,150,50.0,Medium Slow
85,66,Machop,1,Normal,Superpower Pokémon,1,Fighting,None,0.8,19.5,305,70,80,50,35,35,35,180.0,Medium Slow
86,67,Machoke,1,Normal,Superpower Pokémon,1,Fighting,None,1.5,70.5,405,80,100,70,50,60,45,90.0,Medium Slow
87,68,Machamp,1,Normal,Superpower Pokémon,1,Fighting,None,1.6,130.0,505,90,130,80,65,85,55,45.0,Medium Slow
88,69,Bellsprout,1,Normal,Flower Pokémon,2,Grass,Poison,0.7,4.0,300,50,75,35,70,30,40,255.0,Medium Slow
89,70,Weepinbell,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.0,6.4,390,65,90,50,85,45,55,120.0,Medium Slow
90,71,Victreebel,1,Normal,Flycatcher Pokémon,2,Grass,Poison,1.7,15.5,490,80,105,65,100,70,70,45.0,Medium Slow
91,72,Tentacool,1,Normal,Jellyfish Pokémon,2,Water,Poison,0.9,45.5,335,40,40,35,50,100,70,190.0,Slow
92,73,Tentacruel,1,Normal,Jellyfish Pokémon,2,Water,Poison,1.6,55.0,515,80,70,65,80,120,100,60.0,Slow
93,74,Geodude,1,Normal,Rock Pokémon,2,Rock,Ground,0.4,20.0,300,40,80,100,30,30,20,255.0,Medium Slow
94,74,Alolan Geodude,1,Normal,Rock Pokémon,2,Rock,Electric,0.4,20.3,300,40,80,100,30,30,20,255.0,Medium Slow
95,75,Graveler,1,Normal,Rock Pokémon,2,Rock,Ground,1.0,105.0,390,55,95,115,45,45,35,120.0,Medium Slow
96,75,Alolan Graveler,1,Normal,Rock Pokémon,2,Rock,Electric,1.0,110.0,390,55,95,115,45,45,35,120.0,Medium Slow
97,76,Golem,1,Normal,Megaton Pokémon,2,Rock,Ground,1.4,300.0,495,80,120,130,55,65,45,45.0,Medium Slow
98,76,Alolan Golem,1,Normal,Megaton Pokémon,2,Rock,Electric,1.7,316.0,495,80,120,130,55,65,45,45.0,Medium Slow
99,77,Ponyta,1,Normal,Fire Horse Pokémon,1,Fire,None,1.0,30.0,410,50,85,55,65,65,90,190.0,Medium Fast
100,77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,1,Psychic,None,0.8,24.0,410,50,85,55,65,65,90,190.0,Medium Fast
101,78,Rapidash,1,Normal,Fire Horse Pokémon,1,Fire,None,1.7,95.0,500,65,100,70,80,80,105,60.0,Medium Fast
102,78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,2,Psychic,Fairy,1.7,80.0,500,65,100,70,80,80,105,60.0,Medium Fast
103,79,Slowpoke,1,Normal,Dopey Pokémon,2,Water,Psychic,1.2,36.0,315,90,65,65,40,40,15,190.0,Medium Fast
104,79,Galarian Slowpoke,8,Normal,Dopey Pokémon,1,Psychic,None,1.2,36.0,315,90,65,65,40,40,15,190.0,Medium Fast
105,80,Slowbro,1,Normal,Hermit Crab Pokémon,2,Water,Psychic,1.6,78.5,490,95,75,110,100,80,30,75.0,Medium Fast
